cartera,alpha,beta_MKT,beta_SMB,beta_HML,alpha_t,beta_MKT_t,beta_SMB_t,beta_HML_t,alpha_se,r2,sigma_residual,rend_medio
ME5 BM8,0.00022762060806991603,0.9385161010137391,0.6841194499594714,0.6875142309979978,0.01625606287705286,12.548483364403962,7.139635776636696,8.401924586855163,0.01400219781329872,0.832976699218913,0.09514436276991839,0.11206645161290321
ME5 BM9,0.015761036059661546,0.8982470730364888,0.6095712171051375,0.7939749288764207,1.0286408053805927,10.975404036293902,5.8135815109719156,8.867048227636033,0.015322196025297703,0.7979974600714401,0.10411369675681538,0.1268138548387097
ME5 BM10,-0.019712633776171877,1.0552734662194923,0.7251740162654388,0.9694679740140784,-0.9791627261628921,9.813432913832292,5.263720030029038,8.240185374200282,0.020132132534722846,0.7639158686099835,0.13679701906485864,0.11228679032258063
ME6 BM1,-0.0031318975082819706,0.9968233062033323,0.5424308345624855,-0.6509761300155206,-0.19385968722310873,11.551645965885234,4.906419339576019,-6.895064391704044,0.016155486234110863,0.8446368618722344,0.10977586972259369,0.06126077419354839
ME6 BM2,-0.00018481235236007072,0.9659979337350926,0.5494297949333824,-0.2342462633435047,-0.013741335970561493,13.446828964492196,5.96967239088817,-2.9803270923613963,0.013449372954420166,0.8489359965330343,0.09138794041232146,0.07721854838709678
ME6 BM3,0.005276493005373215,0.969810800875846,0.5761032786638972,0.08407488299838,0.35591721980152874,12.247187603988877,5.678639622954769,0.9704277364708995,0.014825056816064035,0.8036513562278784,0.10073565611625573,0.0951750483870968
ME6 BM4,-0.0005227317328585384,0.9332916962006859,0.43912134366899186,0.2121212719337695,-0.0404863877535859,13.532975239488382,4.969984562907622,2.8113031773355703,0.012911295916051186,0.815737963666545,0.08773172889328988,0.08834464516129033
ME6 BM5,0.0006349111340579465,0.7173094046745703,0.5046774911218224,0.3250952452200354,0.04449212197401483,9.410710669279661,5.1680230200239565,3.898289511650556,0.014270192247264807,0.7187146790117211,0.0969653740129799,0.07840306451612905
ME6 BM6,-0.00822656154819526,0.8895556955481647,0.4316796891705733,0.4944230691597946,-0.5967472134086802,12.080667003082201,4.5758733083635486,6.137112300485522,0.013785672330507105,0.7850419686352815,0.09367308094985362,0.08743796774193546
ME6 BM7,0.013467475626296558,0.9736259913925732,0.4748300907680981,0.5203711778502129,0.9686592199904025,13.110603934416329,4.990722006879539,6.4045902236323045,0.013903213171738553,0.8107588355760846,0.09447176616966853,0.11746333870967741
